,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Rikitea,-23.1203,-134.9692,77.58,74,74,8.68,PF,1619472743
1,Jieshi,22.8134,115.8257,71.01,85,100,13.71,CN,1619473320
2,Krasnogorskoye,52.2953,86.1979,37.11,84,100,1.52,RU,1619473320
3,Touros,-5.1989,-35.4608,80.6,78,20,9.22,BR,1619472877
4,Dikson,73.5069,80.5464,31.78,98,100,17.69,RU,1619472838
5,Tautira,-17.7333,-149.15,86.0,66,40,11.5,PF,1619472969
6,Broome,42.2506,-75.833,50.0,29,1,10.36,US,1619472880
7,Sfântu Gheorghe,45.8667,25.7833,45.0,65,99,3.0,RO,1619473321
8,Taylor,32.3001,-99.8337,91.4,22,75,17.27,US,1619473321
9,Jamestown,42.097,-79.2353,52.0,29,90,5.75,US,1619472571
10,Ust-Nera,64.5667,143.2,22.33,90,100,3.4,RU,1619473322
11,Kabinda,-6.1333,24.4833,70.0,85,99,3.0,CD,1619473322
12,Albany,42.6001,-73.9662,54.0,28,1,10.0,US,1619472521
13,George Town,5.4112,100.3354,78.8,94,20,6.91,MY,1619472905
14,Busselton,-33.65,115.3333,57.0,92,100,3.44,AU,1619472753
15,Mar del Plata,-38.0023,-57.5575,61.0,67,0,5.75,AR,1619472850
16,Say,13.1007,2.3689,98.6,16,86,6.91,NE,1619473324
17,Arlit,18.7369,7.3853,93.34,9,79,10.29,NE,1619473012
18,Souillac,-20.5167,57.5167,78.8,78,75,12.66,MU,1619472805
19,Khovd,48.0056,91.6419,31.95,31,40,0.0,MN,1619473324
20,Faya,18.3851,42.4509,59.0,82,0,3.44,SA,1619472831
21,Saint George,37.1041,-113.5841,57.0,52,100,1.01,US,1619472661
22,Kirakira,-10.4544,161.9205,81.5,75,73,4.56,SB,1619473325
23,Prince George,53.9166,-122.753,63.0,18,1,18.41,CA,1619473299
24,Atuona,-9.8,-139.0333,79.72,76,73,15.32,PF,1619472819
25,Cape Town,-33.9258,18.4232,63.0,88,75,18.41,ZA,1619472593
26,Clyde River,70.4692,-68.5914,24.8,100,90,2.3,CA,1619472900
27,Gizo Government Station,-8.103,156.8419,83.61,75,99,8.86,SB,1619473326
28,Fortuna,40.5982,-124.1573,57.99,62,75,10.36,US,1619472724
29,Mataura,-46.1927,168.8643,43.0,85,98,4.0,NZ,1619472815
30,Isangel,-19.55,169.2667,78.8,83,40,5.75,VU,1619472959
31,Banjarmasin,-3.3244,114.591,74.64,94,30,2.64,ID,1619473327
32,Mossamedes,-15.1961,12.1522,75.33,73,1,8.41,AO,1619472873
33,Saint Paul Harbor,57.79,-152.4072,44.6,76,90,12.66,US,1619472840
34,Bredasdorp,-34.5322,20.0403,51.8,87,16,4.83,ZA,1619472829
35,Saskylakh,71.9167,114.0833,2.98,97,97,4.52,RU,1619472811
36,Ambilobe,-13.2,49.05,71.71,94,13,3.2,MG,1619473328
37,São José do Belmonte,-7.8614,-38.7597,79.57,57,84,6.71,BR,1619473328
38,Basco,20.4487,121.9702,75.76,62,81,18.54,PH,1619472856
39,Bensonville,6.4461,-10.6125,78.8,94,20,4.76,LR,1619473328
40,Buta,2.7858,24.73,70.79,85,46,1.97,CD,1619473329
41,Cabo San Lucas,22.8909,-109.9124,81.0,46,75,10.36,MX,1619472643
42,Olafsvik,64.8945,-23.7142,42.15,64,0,3.98,IS,1619472932
43,Hermanus,-34.4187,19.2345,60.01,87,60,6.17,ZA,1619472757
44,Saint-Augustin,51.226,-58.6502,39.87,76,100,32.23,CA,1619473330
45,Dingle,10.9995,122.6711,75.04,87,61,6.24,PH,1619473330
46,Arraial do Cabo,-22.9661,-42.0278,77.0,83,40,6.91,BR,1619472841
47,Khatanga,71.9667,102.5,18.41,88,100,14.41,RU,1619472861
48,Lorengau,-2.0226,147.2712,82.33,74,95,0.94,PG,1619472759
49,Tiznit Province,29.5833,-9.5,58.46,79,43,3.89,MA,1619472988
50,Mukhen,48.1,136.1,47.98,38,51,5.73,RU,1619473331
51,Puerto Ayora,-0.7393,-90.3518,82.4,69,40,18.41,EC,1619472824
52,Vaini,-21.2,-175.2,75.2,94,75,9.22,TO,1619472923
53,Ushuaia,-54.8,-68.3,44.6,87,90,3.44,AR,1619472806
54,Hilo,19.7297,-155.09,78.8,57,40,6.91,US,1619472750
55,Nikolskoye,59.7035,30.7861,42.8,70,75,6.71,RU,1619472840
56,Xining,36.6167,101.7667,37.71,51,89,3.58,CN,1619473332
57,Kawalu,-7.3817,108.2082,70.81,96,3,1.14,ID,1619473333
58,San Isidro,-12.1167,-77.05,68.0,73,0,9.22,PE,1619473333
59,Hobart,-42.8794,147.3294,46.99,93,20,3.44,AU,1619472605
60,Chifeng,42.2683,118.9636,47.77,24,60,9.1,CN,1619473334
61,Palmer,42.1584,-72.3287,55.99,24,20,20.71,US,1619472876
62,Kapaa,22.0752,-159.319,78.8,69,20,11.5,US,1619472814
63,Yellowknife,62.456,-114.3525,10.0,52,40,13.8,CA,1619472892
64,Jasper,37.2001,-94.3502,82.4,39,1,24.16,US,1619473334
65,Fort Abbas,29.1925,72.8536,88.07,9,0,8.97,PK,1619473335
66,Upernavik,72.7868,-56.1549,36.32,82,57,3.69,GL,1619472894
67,Barrow,71.2906,-156.7887,17.6,79,1,18.41,US,1619472808
68,Pevek,69.7008,170.3133,21.47,90,99,4.54,RU,1619472945
69,Thompson,55.7435,-97.8558,48.2,46,40,11.5,CA,1619472830
70,Kargasok,59.0556,80.8572,37.67,91,100,7.92,RU,1619473336
71,Chokurdakh,70.6333,147.9167,22.06,89,99,4.9,RU,1619472952
72,Ponta do Sol,32.6667,-17.1,61.0,79,86,3.0,PT,1619472887
73,Bluff,-46.6,168.3333,43.0,85,56,4.0,NZ,1619472742
74,Airai,-8.9266,125.4092,55.26,71,72,1.95,TL,1619472848
75,Naze,28.3667,129.4833,63.23,64,3,10.22,JP,1619473016
76,Tiksi,71.6872,128.8694,16.14,93,100,10.58,RU,1619472812
77,Pathein,16.7833,94.7333,78.08,81,63,4.81,MM,1619473337
78,Vaitape,-16.5167,-151.75,81.05,67,92,4.79,PF,1619472939
79,Thunder Bay,48.4001,-89.3168,35.6,93,90,13.8,CA,1619473244
80,Kungurtug,50.5994,97.5228,13.66,89,51,2.37,RU,1619473338
81,Miranda de Ebro,42.6865,-2.947,55.4,82,75,2.3,ES,1619473338
82,Ayacucho,-13.1583,-74.2239,63.14,62,61,1.61,PE,1619473339
83,Hailar,49.2,119.7,34.77,72,99,26.06,CN,1619473339
84,Thinadhoo,0.5333,72.9333,81.91,65,26,4.05,MV,1619473339
85,Sola,-13.8833,167.55,82.4,83,75,9.24,VU,1619473340
86,Cláudio,-20.4433,-44.7658,68.18,57,25,3.47,BR,1619473340
87,Shawville,45.6001,-76.4827,52.0,17,11,8.01,CA,1619473341
88,Pemangkat,1.1667,108.9667,77.49,88,20,3.78,ID,1619472842
89,Aklavik,68.2191,-135.0107,19.4,49,100,9.22,CA,1619472826
90,Ternate,0.8,127.4,80.1,79,21,5.21,ID,1619473341
91,San Jerónimo,-11.9472,-75.2829,55.33,74,76,2.24,PE,1619472937
92,Hasaki,35.7333,140.8333,46.4,71,20,3.44,JP,1619472884
93,Havre-St-Pierre,50.2334,-63.5986,39.2,93,90,32.21,CA,1619472962
